year,month,day,Upwelling (m^2/s)
1989,   3,  13,0.8359
1989,   3,  14,1.1565
1989,   3,  15,0.7925
1989,   3,  16,-0.1488
1989,   3,  17,-0.0763
1989,   3,  18,-0.2105
1989,   3,  19,-0.0033
1989,   3,  20,0.5644
1989,   3,  21,0.6649
1989,   3,  22,1.1151
1989,   3,  23,0.4139
1989,   3,  24,-0.9216
1989,   3,  25,0.1044
1989,   3,  26,0.9739
1989,   3,  27,0.0815
1989,   3,  28,0.1617
1989,   3,  29,0.8349
1989,   3,  30,0.9447
1989,   3,  31,0.6040
1989,   4,   1,0.5884
1989,   4,   2,0.0886
1989,   4,   3,0.8813
1989,   4,   4,1.1727
1989,   4,   5,0.4312
1989,   4,   6,0.3730
1989,   4,   7,0.5093
1989,   4,   8,0.4700
1989,   4,   9,0.1429
1989,   4,  10,0.5236
1989,   4,  11,1.1683
1989,   4,  12,0.1944
1989,   4,  13,-0.0634
1989,   4,  14,0.0103
1989,   4,  15,0.1555
1989,   4,  16,0.1877
1989,   4,  17,-0.0770
1989,   4,  18,0.2761
1989,   4,  19,0.5767
1989,   4,  20,0.2735
1989,   4,  21,0.1011
1989,   4,  22,0.1791
1989,   4,  23,0.1608
1989,   4,  24,0.0983
1989,   4,  25,-0.2253
1989,   4,  26,-0.1131
1989,   4,  27,0.4474
1989,   4,  28,0.4539
1989,   4,  29,0.1859
1989,   4,  30,-0.0440
1989,   5,   1,0.5278
1989,   5,   2,0.6754
1989,   5,   3,0.6796
1989,   5,   4,0.8142
1989,   5,   5,0.9517
1989,   5,   6,0.5229
1989,   5,   7,-0.0081
1989,   5,   8,0.3800
1989,   5,   9,0.6680
1989,   5,  10,0.6413
1989,   5,  11,1.3655
1989,   5,  12,1.4067
1989,   5,  13,1.3646
1989,   5,  14,0.5475
1989,   5,  15,0.1497
1989,   5,  16,0.3200
1989,   5,  17,0.3125
1989,   5,  18,0.7905
1989,   5,  19,0.8264
1989,   5,  20,0.8200
1989,   5,  21,0.5842
1989,   5,  22,0.5013
1989,   5,  23,0.3049
1989,   5,  24,0.5517
1989,   5,  25,1.5569
1989,   5,  26,1.8294
1989,   5,  27,1.4577
1989,   5,  28,1.5341
1989,   5,  29,1.0126
1989,   5,  30,0.8570
1989,   5,  31,0.8208
1989,   6,   1,0.3998
1989,   6,   2,0.4228
1989,   6,   3,0.2280
1989,   6,   4,-0.4016
1989,   6,   5,-0.2786
1989,   6,   6,0.1669
1989,   6,   7,0.4781
1989,   6,   8,1.0188
1989,   6,   9,1.2244
1989,   6,  10,0.5046
1989,   6,  11,0.3496
1989,   6,  12,1.0467
1989,   6,  13,1.1050
1989,   6,  14,0.9557
1989,   6,  15,0.5466
1989,   6,  16,0.9182
1989,   6,  17,1.6502
1989,   6,  18,1.6988
1989,   6,  19,2.0614
1989,   6,  20,2.0304
1989,   6,  21,1.1251
1989,   6,  22,0.2444
1989,   6,  23,-0.8695
1989,   6,  24,-0.6260
1989,   6,  25,-0.0013
1989,   6,  26,0.4634
1989,   6,  27,0.1706
