year,month,day,Upwelling (m^2/s)
1986,   1,   1,0.6101
1986,   1,   2,0.2855
1986,   1,   3,0.1853
1986,   1,   4,-1.8811
1986,   1,   5,-0.9352
1986,   1,   6,1.0084
1986,   1,   7,0.1193
1986,   1,   8,-0.0515
1986,   1,   9,0.0934
1986,   1,  10,0.3260
1986,   1,  11,0.2366
1986,   1,  12,-0.1176
1986,   1,  13,0.1789
1986,   1,  14,0.2852
1986,   1,  15,0.1375
1986,   1,  16,0.2038
1986,   1,  17,0.7051
1986,   1,  18,0.6032
1986,   1,  19,1.0768
1986,   1,  20,1.3565
1986,   1,  21,0.8411
1986,   1,  22,0.1864
1986,   1,  23,0.5688
1986,   1,  24,1.5071
1986,   1,  25,0.0679
1986,   1,  26,0.0704
1986,   1,  27,0.0198
1986,   1,  28,-0.3749
1986,   1,  29,-1.1406
1986,   1,  30,-2.7776
1986,   1,  31,-1.1201
1986,   2,   1,0.1995
1986,   2,   2,-0.1713
1986,   2,   3,1.2561
1986,   2,   4,3.1396
1986,   2,   5,1.4738
1986,   2,   6,3.1583
1986,   2,   7,0.5060
1986,   2,   8,0.5713
1986,   2,   9,0.4599
1986,   2,  10,0.0203
1986,   2,  11,-0.2859
1986,   2,  12,-3.4848
1986,   2,  13,-4.1819
1986,   2,  14,-2.5954
1986,   2,  15,-1.0376
1986,   2,  16,-0.0802
1986,   2,  17,-0.3374
1986,   2,  18,-0.9979
1986,   2,  19,-1.0046
1986,   2,  20,0.1822
1986,   2,  21,1.1445
1986,   2,  22,0.8249
1986,   2,  23,0.7120
1986,   2,  24,0.4241
1986,   2,  25,0.9179
1986,   2,  26,0.1705
1986,   2,  27,0.4397
1986,   2,  28,0.4676
1986,   3,   1,0.0643
1986,   3,   2,0.1757
1986,   3,   3,0.5473
1986,   3,   4,0.6754
1986,   3,   5,1.1084
1986,   3,   6,0.7785
1986,   3,   7,0.7120
1986,   3,   8,-0.1997
1986,   3,   9,0.0667
1986,   3,  10,-1.6940
1986,   3,  11,1.2542
1986,   3,  12,0.7982
1986,   3,  13,0.3989
1986,   3,  14,1.1056
1986,   3,  15,-0.8721
1986,   3,  16,-0.3289
1986,   3,  17,1.1668
1986,   3,  18,0.9130
1986,   3,  19,0.1124
1986,   3,  20,0.1147
1986,   3,  21,0.6556
1986,   3,  22,0.5642
1986,   3,  23,0.1893
1986,   3,  24,0.7076
1986,   3,  25,0.8263
1986,   3,  26,0.1623
1986,   3,  27,-0.1174
1986,   3,  28,0.1622
1986,   3,  29,-0.0578
1986,   3,  30,0.1645
1986,   3,  31,0.1310
1986,   4,   1,0.2688
1986,   4,   2,3.3556
1986,   4,   3,1.1003
1986,   4,   4,0.8513
1986,   4,   5,0.1246
1986,   4,   6,-0.3065
1986,   4,   7,-0.5391
1986,   4,   8,0.0754
1986,   4,   9,0.4259
1986,   4,  10,0.5622
1986,   4,  11,0.2760
1986,   4,  12,1.2592
1986,   4,  13,2.2202
1986,   4,  14,0.0062
1986,   4,  15,0.0862
1986,   4,  16,0.7771
1986,   4,  17,1.3950
1986,   4,  18,0.8961
1986,   4,  19,0.2291
1986,   4,  20,0.1967
1986,   4,  21,0.3062
1986,   4,  22,0.1958
1986,   4,  23,0.4671
1986,   4,  24,1.5576
1986,   4,  25,1.2476
1986,   4,  26,1.3597
1986,   4,  27,0.6483
1986,   4,  28,0.9570
1986,   4,  29,1.5278
1986,   4,  30,0.3174
1986,   5,   1,0.3270
1986,   5,   2,0.2932
1986,   5,   3,0.2040
1986,   5,   4,0.5761
1986,   5,   5,1.2547
1986,   5,   6,1.9458
1986,   5,   7,1.4582
1986,   5,   8,1.1775
1986,   5,   9,0.2879
1986,   5,  10,0.6114
1986,   5,  11,1.1437
1986,   5,  12,0.3065
1986,   5,  13,0.2142
1986,   5,  14,0.4838
1986,   5,  15,1.6313
1986,   5,  16,0.9041
1986,   5,  17,0.2694
1986,   5,  18,0.7381
1986,   5,  19,1.3581
1986,   5,  20,1.3313
1986,   5,  21,1.3070
1986,   5,  22,0.5806
1986,   5,  23,0.5942
1986,   5,  24,0.6353
1986,   5,  25,0.6862
1986,   5,  26,0.2796
1986,   5,  27,0.6464
1986,   5,  28,1.4350
1986,   5,  29,0.5087
1986,   5,  30,0.1817
1986,   5,  31,0.5806
1986,   6,   1,1.3220
1986,   6,   2,0.8428
1986,   6,   3,1.5290
1986,   6,   4,1.2087
1986,   6,   5,0.9676
1986,   6,   6,0.9206
1986,   6,   7,1.4174
1986,   6,   8,1.0059
1986,   6,   9,0.4372
1986,   6,  10,-0.0392
1986,   6,  11,0.3087
1986,   6,  12,0.4918
1986,   6,  13,0.5996
1986,   6,  14,0.8199
1986,   6,  15,1.1195
1986,   6,  16,0.6508
1986,   6,  17,0.6258
1986,   6,  18,1.0624
1986,   6,  19,1.0265
1986,   6,  20,0.8451
1986,   6,  21,0.9032
1986,   6,  22,0.1819
1986,   6,  23,0.0685
1986,   6,  24,0.2382
1986,   6,  25,0.4287
1986,   6,  26,0.5669
1986,   6,  27,0.8892
1986,   6,  28,1.2535
1986,   6,  29,0.8142
1986,   6,  30,0.8123
1986,   7,   1,0.5977
1986,   7,   2,0.4988
1986,   7,   3,0.5410
1986,   7,   4,0.3334
1986,   7,   5,0.1523
1986,   7,   6,-0.0935
1986,   7,   7,0.1638
1986,   7,   8,0.4078
1986,   7,   9,0.5375
1986,   7,  10,0.9379
1986,   7,  11,0.3421
1986,   7,  12,0.0760
1986,   7,  13,0.1254
1986,   7,  14,0.1984
1986,   7,  15,0.3146
1986,   7,  16,0.8087
1986,   7,  17,0.8909
1986,   7,  18,1.3946
1986,   7,  19,1.0653
1986,   7,  20,1.3335
1986,   7,  21,0.6378
1986,   7,  22,-0.1300
1986,   7,  23,-0.0650
1986,   7,  24,0.0032
1986,   7,  25,0.4364
1986,   7,  26,0.6851
1986,   7,  27,0.7078
1986,   7,  28,1.0168
1986,   7,  29,0.8597
